Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
11,Community based environmental education program,UNDP,Closed,2002,2003,Mauritius,Indian Ocean,,Grantee: Community Development Programme Agency,"US$ 24,863","US$ 24,309",Communications and Awareness (CA),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5898&Itemid=272
12,"  Post Tsunami Environment and Coral Retoration Programme in Rumassala, Galle by Nature Conservation",UNDP,Closed,2005,2007,Sri Lanka,Indian Ocean,,Grantee: Nature Conservation Group,"US$ 68,383","US$ 9,980",Promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9315&Itemid=272
13,"SIP: Integrated Ecological Planning and Sustainable Land Management in Coastal Ecosystems in the Comoros in the Three Island of (Grand Comore, Anjouan, and Moheli)",GEF Trust Fund,Closed,2007,2008,Comoros,Indian Ocean,,"International Fund for Agricultural Development; Ministry of Agriculture, Fisheries and Environment","US$ 2,872,000","Grant  - US$ 1,00,000, Co-financing US$ 1,872,000",Promoting sustainable living and alternative livelihoods (SL),,https://www.thegef.org/project/sip-integrated-ecological-planning-and-sustainable-land-management-coastal-ecosystems
14,"Coral Reef Restoration, conservation and monitoring programme at Rumassala, Galle by Nature Conservation Group",GEF Small Grants Programme/ UNDP,Closed,2003,2005,Sri lanka,Indian Ocean,,Nature Conservation Group,"US$ 41,239","Grant - US$ 31,995; Co-financing - US$ 9,244",Monitoring & Research,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=402&Itemid=272
15,"Post-Tsunami Environment and Coral Restoration Programme in Rumassala, Galle by Nature Conservation Group",GEF Small Grants Programme,Closed,2005,2007,Sri Lanka,Indian Ocean,,Nature Conservation Group,"US$ 78,363","Grant - US$ 68,383; Co-financing - US$ 9,980",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9315&Itemid=272
16,Helping the turtles survive,GEF Small Grants Programme,Closed,2003,2005,Pakistan,Indian Ocean,,Shehri-Citizens for a Better Environment,"US$ 66,520","Grant - US$ 48,249; Co-financing - US$ 18, 271",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6466&Itemid=272
17,Pilot Project for Marine Environmental Education & Resource Centres for Beaches in Mauritius,GEF Small Grants Programme,Closed,2006,2008,Mauritius,Indian Ocean,,Mauritius Scuba Diving Association,"US$ 189,565","Grant - US$ 50,000; Co-financing - US$ 139,565",Communications and Awareness (CA),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9519&Itemid=272
18,High tunnel houses for sustainable land management,GEF Small Grants Programme,Closed,2006,2007,Jamaica,Indian Ocean,,Santoy Farmers' Cooperative,"US$ 68,000","Grant - US$ 25,000; Co-financing - US$ 43,000",Promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9620&Itemid=272
19,Sensitisation on evironment protection with emphasis on climate change,GEF Small Grants Programme,Closed,2007,2009,Mauritius,Indian Ocean,,Environment Care Association,"US$ 33,045","Grant - US$ 26,045; Co-financing - US$ 7,000",Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11569&Itemid=272
20,Carte Verte des Sentiers de Randonees de Rodrigues - Promoting eco-tourism in Rodrigues,GEF Small Grants Programme,Closed,2008,2009,Mauritius,Indian Ocean,,Rodrigues Entreprendre au Feminin,"US$ 50,637","Grant - US$ 50,000; Co-financing - US$ 637",Promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13584&Itemid=272
21,Anou refaire La Caz Ourite/ The reconstruction of artificial burrows for octopus ,GEF Small Grants Programme,Closed,2005,2006,Mauritius,Indian Ocean,,Environmental Protection and Conservation Organisation,"US$ 28,801","Grant - US$ 15,980; Co-financing - US$ 12,821",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8364&Itemid=272
22,Protecting biological diversity through law,GEF Small Grants Programme,Closed,2007,2008,Jamaica,Indian Ocean,,Jamaica Environmental Trust,"US$ 62,554","Grant - US$ 25,000; Co-financing - US$ 37,554",Policy and Legislation (PL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=10247&Itemid=272
23,CBOs' development for rehabilitation and management of coastal resources in Ranong,GEF Small Grants Programme,Closed,2005,2007,Thailand,Indian Ocean,,Ranong and Suksamran Fisherfolk Network,"US$ 41,137","Grant - US$ 23,826; Co-financing - US$ 17,311",Marine Protected Areas (PA) management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8049&Itemid=272
24,Wise practices for coping with climate change in Mauritius,GEF Small Grants Programme,Closed,2006,2006,Mauritius,Indian Ocean,,Environmental Protection and Conservation Organisation,"US$ 35,922","Grant - US$ 33,776; Co-financing - US$ 2,146",Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9523&Itemid=272
25,Gulf of Thailand conservation and protection,GEF Small Grants Programme,Closed,1998,1998,Thailand,Indian Ocean,,The Grantparents Group,"US$ 15,031","Grant - US$ 10,526; Co-financing - US$ 4,526",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=507&Itemid=272
26,Request for Additional Grant by Reef Conservation (Mauritius) – former Marine Conservation Management Consortium (MCMC) – for the project “Permanent Mooring Buoys & Community Based Marine Environment Monitoring”,GEF Small Grants Programme,Closed,2007,2008,Mauritius,Indian Ocean,,Reef Conservation,"US$ 96,043","Grant - US$ 17,788; Co-financing - US$ 78,255",Marine Protected Areas (PA) management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11568&Itemid=272
27,Chao Lao fishing community,GEF Small Grants Programme,Closed,2005,2007,Thailand,Indian Ocean,,Chao Lao Fishing Community,"US$ 25,572","Grant - US$ 18,414; Co-financing - US$ 7,158",Fisheries Management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7994&Itemid=272
28,Improving and expansion of beekeeping and fish farming projects for Marine Park adjacent villages as a contribution to the conservation of Mnazi Bay Marine Park,GEF Small Grants Programme,Closed,2008,2009,Tanzania,Indian Ocean,,Jitegemee Group,"US$ 88,410","Grant - US$ 50,000; Co-financing - US$ 38,410",Fisheries Management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13263&Itemid=272
29,Building Capacity of Women's Network for Sustainable Management of Coastal Resources,GEF Small Grants Programme,Closed,2000,2001,Thailand,Indian Ocean,,"Yard Fon Association, Trang Province","US$ 18,159","Grant - US$ 12,579; Co-financing - US$ 5,580",Communications and Awareness (CA),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=3426&Itemid=272
30,Marine environmental education in the community ,GEF Small Grants Programme,Closed,2005,2006,Mauritius,Indian Ocean,,Shoals Rodrigues Association,"US$ 98,034","Grant - US$ 37,019; Co-financing - US$ 61,015",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8365&Itemid=272
31,Small-scale animal husbandry as a sustainable alternative to fishing,GEF Small Grants Programme,Closed,2007,2009,Mauritius,Indian Ocean,,Association Pecheurs de Riviere Banane,"US$ 90,991","Grant - US$ 50,000; Co-financing - US$ 40,991",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12036&Itemid=272
32,The development of ecotourism in Rivière Banane as an alternative to fishing,GEF Small Grants Programme,Closed,2007,2009,Mauritius,Indian Ocean,,Ocean Tribe,"US$ 72,792","Grant - US$ 49,226; Co-financing - US$ 23,566",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12038&Itemid=272
33,Enhancing Sea Turtle Conservation in Kenya,GEF Small Grants Programme,Closed,2003,2005,Kenya,Indian Ocean,,Kenya sea Turtle Conservation Committee,"US$ 48,000","Grant - US$ 48,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6478&Itemid=272
34,Conserving marine biodiversity through a participatory and integrated management by Society for People Centered Development,GEF Small Grants Programme,Closed,2001,2003,Sri Lanka,Indian Ocean,,Society for People Centered Development,"US$ 36,249","Grant - US$ 18,191; Co-financing - US$ 18,058",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5065&Itemid=272
35,"Development and management of sustainable coastal tourism project in southern Mozambique by developing an organizational framework on the coastal tourism sector in the three southern provinces of Mozambique (Inhambane, Gaza, and Maputo)",GEF Small Grants Programme,Closed,2005,2007,Mozambique,Indian Ocean,,Centro Terra Viva,"US$ 30,400","Grant - US$ 26,400; Co-financing - US$ 4,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9312&Itemid=272
36,Returning a Malaysian Heritage of Giant Clams to Johore Island,GEF Small Grants Programme,Closed,2003,2006,Malaysia,Indian Ocean,,Centre for Marine and Coastal Studies,"US$ 860,988","Grant - US$ 50,000; Co-financing - US$ 810,988",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6202&Itemid=272
37,Siquijor Integrated Management of Coastal Resources,GEF Small Grants Programme,Closed,2002,2004,Philippines,Indian Ocean,,"St. Catherine Family Helper Project, Inc.","US$ 58,404","Grant - US$ 42,497; Co-financing - US$ 15,907",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5896&Itemid=272
38,Permanent Mooring Buoys and Community Based Marine Environment Monitoring,GEF Small Grants Programme,Closed,2002,2004,Mauritius,Indian Ocean,,Marine Conservation Management Consortium (MCMC),"US$ 192,926","Grant - US$ 50,000; Co-financing - US$ 142,926",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5732&Itemid=272
39,Coastal Resources Biodiversity Enhancement And Conservation Through Fishery/Mariculture And Fishery Support Services,GEF Small Grants Programme,Closed,2004,2006,Philippines,Indian Ocean,,Budyong Rural Development Foundation Inc.,"US$ 53,195","Grant - US$ 49,228; Co-financing - US$ 3,967",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=10855&Itemid=272
40,Study tour on community-based coastal resource management for NGOs and Pos (nationwide),GEF Small Grants Programme,Closed,1993,1994,Philippines,Indian Ocean,,Phil. Partnership for the Development of Human Resources,"US$ 23,745","Grant - US$ 23,745",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4018&Itemid=272
41,Coastal and marine resources conservation and management for fishing families in Bunawan district,GEF Small Grants Programme,Closed,2001,2004,Philippines,Indian Ocean,,Association of Fisherfolk of Davao City,"US$ 51,441","Grant - US$ 29,805; Co-financing - US$ 21,636",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5052&Itemid=272
42,"Eco-tourism management in Rouche Marine Protected Area, Halah, Hadibu, Socotra",GEF Small Grants Programme,Closed,2008,2009,Yemen,Indian Ocean,,Halah Community Group,"US$ 40,724","Grant - US$ 23,320; Co-financing - US$ 17,404",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12420&Itemid=272
43,Sustainable biodiversity conservation programme,GEF Small Grants Programme,Closed,2006,2007,Jamaica,Indian Ocean,,International School of Jamaica,"US$ 82,297","Grant 23,297; Co-financing - US$ 59,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9618&Itemid=272
44,Susutainable income generation through livelihood development and environmental restoration by Siyath Foundation,GEF Small Grants Programme,Closed,2006,2007,Sri Lanka,Indian Ocean,,Siyath Foundation,"US$ 20,175","Grant - US$ 19,675; Co-financing - US$ 500",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9593&Itemid=272
45,Community-based Sustainable Reef Fishery to Build Resilience in Adaptation to Climate Change,GEF Small Grants Programme,Closed,2008,2009,Indonesia,Pacific Ocean,,Yayasan Rosontapura,"US$ 75,000","Grant - US$ 50,000; Co-financing - US$ 25,000",Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12654&Itemid=272
46,Alternatives Income generating activities for Fisherman,GEF Small Grants Programme,Closed,1995,1997,Indonesia,Pacific Ocean,,Jaringan Kerjasama Masyarakat Pesisir,"US$ 17,455","Grant - US$ 14,703; Co-financing - US$ 2,752",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=234&Itemid=272
47,Community based coastal and coral reef management in Batauga and Betoambari sub-districts of Buton Regency,GEF Small Grants Programme,Closed,1998,2000,Indonesia,Pacific Ocean,,Lakamali,"US$ 11,807","Grant - US$ 8,923; Co-financing - US$ 2,884",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=244&Itemid=272
48,"Community based integrated mangrove rehabilitation and economic recovery program in Tsunami effected villages in Pulau Weh, Aceh",GEF Small Grants Programme,Closed,2005,2006,Indonesia,Pacific Ocean,,Center for Wildlife Conservation Aceh,"US$ 56,960","Grant - US$ 17,000; Co-financing - US$ 39,960",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8469&Itemid=272
49,Development program of community based sea management area in Hari Island,GEF Small Grants Programme,Closed,2005,2006,Indonesia,Pacific Ocean,,Yayasan Bahari,"US$ 61,366","Grant - US$ 50,000; Co-financing - US$ 11,366",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12681&Itemid=272
50,"Local community alternative energy for food security and local needs and ecological preservation, in Puntondo, South Sulawesi",GEF Small Grants Programme,Closed,2007,2008,Indonesia,Pacific Ocean,,Pusat Pendidikan Lingkungan Hidup Puntondo,"US$ 43,540","Grant - US$ 32,000; Co-financing - US$ 12,540",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11478&Itemid=272
51,"Planning on Empowering Woman in Coastal Area To Protect Coral Reef and Mangrove in Boepinang in Buton, South East Sulawesi",GEF Small Grants Programme,Closed,2001,2002,Indonesia,Pacific Ocean,,Yayasan ASASI,"US$ 2,700","Grant - US$ 2,000; Co-financing - US$ 700",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5783&Itemid=272
52,Community rights and climate change adaptation and mitigation,GEF Small Grants Programme,Closed,2007,2008,Indonesia,Pacific Ocean,,Pusat Pendidikan Lingkungan Hidup Bali,"US$ 79,000","Grant - US$ 50,000; Co-financing - US$ 29,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11820&Itemid=272
53,Strengthening and Developing Les Initiative for Ornamental Fish Industrial Reform to Save Coral Reef Ecosystems in Bali,GEF Small Grants Programme,Closed,2005,2007,Indonesia,Pacific Ocean,,Yayasan Bahtera Nusantara,"US$ 80,640","Grant - US$ 50,000; Co-financing - US$ 30,640",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8484&Itemid=272
54,"Coral Reef Restoration and Establishment of Sustainable, Community- based Ornamental Fish Business",GEF Small Grants Programme,Closed,2002,2004,Indonesia,Pacific Ocean,,Yayasan Bahtera Nusantara,"US$ 58,717","Grant - US$ 45,000; Co-financing - US$ 13,717",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6603&Itemid=272
55,Coral and Environment Rehabilitation and Conservation by CBOs',GEF Small Grants Programme,Closed,2000,2001,Thailand,International Waters,,Pathiw Coral & Environment Conservation Club,"US$ 16,607","Grant - US$ 12,461; Co-financing - US$ 4,146",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=3421&Itemid=272
56,Environmental impact assessment of SGP artificial reef pyramids for future replication and expansion,GEF Small Grants Programme,Closed,2005,2009,Iran,International Waters,,Salakh Community Organisation - Council of Salakh Village,"US$ 23,530","Grant - US$ 21,530; Co-financing - US$ 2,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9289&Itemid=272
57,Future replication and expansion of SGP artifical reef pyramids through enhanced communication material,GEF Small Grants Programme,Closed,2005,2009,Iran,International Waters,,Salakh Fishery Co-operative in partnership with a team of Environmental Experts,"US$ 12,000","Grant - US$ 10,000; Co-financing - US$ 2,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9287&Itemid=272
58,Corals and Their Relationship with the Indigenous,GEF Small Grants Programme,Closed,2001,2004,Iran,International Waters,,Abie-e-Bidar NGO,"US$ 71,173","Grant - US$ 25,000; Co-financing - US$ 46,173",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5296&Itemid=272
59,Upgrading Glassboat Sector in Aqaba Gulf ,GEF Small Grants Programme,Closed,2002,2004,Jordan,International Waters,,The Jordan Royal Ecological Diving Society,"US$ 160,194","Grant - US$ 40,254; Co-fiancing - US$ 119,940",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5889&Itemid=272
60,Marine Biodiversity Protection and Management,GEF Trust Fund,Closed,1999,2004,Samoa,Pacific Ocean,,World Bank; International Union for Conservation of Nature (IUCN),"US$ 1,583,126","GEF - US$ 899,978, Co-financing US$ 658,148",Marine Protected Areas (PA) management,,https://www.thegef.org/project/marine-biodiversity-protection-and-management
61,Hon Mun Marine Protected Area Pilot Project,GEF Trust Fund,Closed,1999,2000,Vietnam,Pacific Ocean,,World Bank; IUCN,"US$ 2,146,074","GEF - US$ 972,447, Co-financing US$ 1,148,627",Marine Protected Areas (PA) management,,https://www.thegef.org/project/hon-mun-marine-protected-area-pilot-project
62,Conservation of the Tubbataha Reefs National Marine Park and World Heritage Site,GEF Trust Fund,Closed,2000,2004,Philippines,Pacific Ocean,,UN Development Programme; WWF,"US$ 1,759,421","GEF - US$ 749,714, Co-financing US$ 984,707",Conservation,,https://www.thegef.org/project/conservation-tubbataha-reefs-national-marine-park-and-world-heritage-site
63,Caribbean Archipelago Biosphere Reserve: Regional Marine Protected Area System,GEF Trust Fund,Closed,2000,2005,Colombia,Pacific Ocean,,World Bank; CORALINA,"US$ 4,180,000","GEF - US$ 975,000, Co-financing US$ 3,180,000",Conservation,,https://www.thegef.org/project/caribbean-archipelago-biosphere-reserve-regional-marine-protected-area-system
64,Biodiversity Conservation and Management of the Bohol Islands Marine Triangle,GEF Trust Fund,Closed,2000,2007,Philippines,Pacific Ocean,,UN Development Programme; Foundation for Filipino Environment,"US$ 1,380,881","GEF - US$ 718,270, Co-financing US$ 637,611",Promoting sustainable living and alternative livelihoods (SL),,https://www.thegef.org/project/biodiversity-conservation-and-management-bohol-islands-marine-triangle
65,Community-based Coastal and Marine Conservation in the Milne Bay Province,GEF Trust Fund,Closed,2002,2006,Papua New Guinea,Pacific Ocean,,UN Development Programme; Conservation International Papua New Guinea,"US$ 7,127,400","GEF - US$ 3,200,000, Co-financing US$ 3,578,000",Marine Protected Areas (PA) management,,https://www.thegef.org/project/community-based-coastal-and-marine-conservation-milne-bay-province
66,Enhancing community management of marine resources through Coral Reef Monitoring in Vanuatu,GEF Small Grants Programme/ UNDP,Closed,2008,2009,Vanuatu,Pacific Ocean,,Reef Check Vanuatu,"US$ 31,863","Grant - US$ 25,948; Co-financing - US$ 5,915",Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12914&Itemid=272
67,Coral Restoration and fish stock rehabilitation of marine reserves,GEF Small Grants Programme,Closed,2007,2009,Samoa,Pacific Ocean,,Alii Ma Faipule - Tafagamanu,"US$ 28,386","Grant - US$ 16,600; Co-financing - US$ 11,786",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12483&Itemid=272
68,Assessment of commercially important species in Bacalar Chico Marine Reserve utilizing traditional commercial fishermen,GEF Small Grants Programme,Closed,2002,2003,Belize,Pacific Ocean,,Caribena Producers Cooperative,"US$ 50,000","Grant - US$ 50,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5685&Itemid=272
69,Coral gardening project,GEF Small Grants Programme,Closed,2005,2005,Samoa,Pacific Ocean,,Apai - Alii ma Faipule,"US$ 1,418","Grant - US$ 1,149; Co-financing - US$ 269",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9151&Itemid=272
70,Hacia la conservación de los recursos marino-costero por una comunidad de pescadores artesanales del Golfo Dulce,GEF Small Grants Programme,Closed,2008,2010,Costa Rica,Pacific Ocean,,Asociación de Pescadores y Piangueros del Golfo Dulce,"US$ 27,206","Grant - US$ 20,000; Co-financing - US$ 7,206",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12335&Itemid=272
71,Capacity building to enhance and increase the sense of ownership in the Port Honduras marine reserve through a community stewards programme,GEF Small Grants Programme,Closed,2008,2009,Belize,Pacific Ocean,,Toledo Institute for Development and Environment,"US$ 63,422","Grant - US$ 30,962; Co-financing - US$ 32,460",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12936&Itemid=272
72,Contributing to biodiversity conservation of Cat Ba National Parl through community activity,GEF Small Grants Programme,Closed,2000,2003,Vietnam,Pacific Ocean,,"Women Union of Cat Hai District, Hai Phong City","US$ 36,029","Grant - US$ 24,782; Co-financing - US$ 11,24",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4146&Itemid=272
73,Working towards the Sustainable Management of the Commercial Fisheries Resources of Lighthouse Reef Atoll,GEF Small Grants Programme,Closed,2004,2006,Belize,Pacific Ocean,,Belize Audubon Society,"US$ 49,990","Grants - US$ 49,990",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7751&Itemid=272
74,Manejo y conservación de los ecosistemas marinos en la Ensenada de Atacames a través de la observación de ballenas,GEF Small Grants Programme,Closed,2001,2002,Ecuador,Pacific Ocean,,Asociacion Aventuras del Mar,"US$ 70,374","Grant - US$ 28,124; Co-financing - US$ 42,250",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5046&Itemid=272
75,Training and Equipping Fishermen Who Use the Sapodilla Cayes Marine Reserve,GEF Small Grants Programme,Closed,2002,2004,Belize,Pacific Ocean,,Rio Grande Fishermen Cooperation Society Ltd,"US$ 58,500","Grant - US$ 50,000; Co-financing - US$ 8,500",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5684&Itemid=272
76,The Sapodilla Cayes Marine Reserve: Creating awareness of the importance of a Marine Protected Area in coastal communities of the Toledo District,GEF Small Grants Programme,Closed,2002,2003,Belize,Pacific Ocean,,Toledo Institute for Tourism and Empowerment,"US$ 49,818","Grant - US$ 46,972; Co-financing - US$ 2,846",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5586&Itemid=272
77,North Efate coastal resources management networking,GEF Small Grants Programme,Closed,2009,2009,Vanuatu,Pacific Ocean,,Foundation of the People of the South Pacific-Vanuatu,"US$ 2,750","Grant - US$ 2,500; Co-financing - US$ 250",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14031&Itemid=272
78,Kimbe Bay Marine Awareness,GEF Small Grants Programme,Closed,2000,2003,Papua New Guinea,Pacific Ocean,,Mahonia na dari research and conservation center,"US$ 18,248","Grant - US$ 18,248",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4584&Itemid=272
79,FSM: Improving community-based MPA management by designing floating rafts as portable surveillance stations to help minimize poaching activities and for utilization of sustainable income generating projects as a model for Pohnpei MPA Network,GEF Small Grants Programme,Closed,2007,2008,Micronesia,Pacific Ocean,,Conservation Society of Pohnpei,"US$ 35,991","Grant -US$ 20,650; Co-financing - US$ 15,341",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11946&Itemid=272
