ID,Project Title,Donor(s),Category,Status,Start Date,End Date,Country Implementation (New),Ocean Region,Beneficiaries ,Implementing Agency,Total Project Cost,Primary Funding,Co-funding,Ecosystem,Web Link,Further Information
90,Argao Nearshore Area Rehabilitation Project (VISAYAS),Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Closed,1994,1995,Philippines,East Asian Sea,Kaponongan ng Gaymay'ng Mananagat sa Argao,Kaponongan ng Gaymay'ng Mananagat sa Argao,USD 7519,USD 7519,USD 0,Coral Reef; Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4064&Itemid=272,Data not available
87,Artificial Reef Development Study,Global Environment Facility (GEF) Small Grants Programme,Monitoring and Research,Closed,2008,2008,Dominica,Wider Caribbean,Local Area Management Authority,Local Area Management Authority,USD 4200,USD 2000,USD 2200,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13068&Itemid=272,Data not available
284,Assessing the Impacts of Ocean Acidification at Palmyra Atoll,Gordon and Betty Moore Foundation,Monitoring and Research,Closed,2010,2013,United States of America,Pacific,University of California; San Diego Scripps Institution of Oceanography,University of California; San Diego Scripps Institution of Oceanography,USD 768674,USD 768674,USD 0,Coral Reef,https://www.moore.org/grant-detail?grantId=GBMF2747,Data not available
61,Assessment of Commercially Important Species in Bacalar Chico Marine Reserve Utilizing Traditional Commercial Fishermen,Global Environment Facility (GEF) Small Grants Programme,Fisheries Management and Governance,Closed,2002,2003,Belize,Wider Caribbean,Caribena Producers Cooperative,Caribena Producers Cooperative,USD 50000,USD 50000,USD 0,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5685&Itemid=272,Data not available
217,Assessment Sea Scape Management in Nusa Tenggara Timur,Global Environment Facility (GEF) Small Grants Programme,Monitoring and Research,Closed,2013,2014,Indonesia,East Asian Sea,Perkumpulan Bingkai Indonesia,Perkumpulan Bingkai Indonesia,USD 50257,USD 25000,USD 25257,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20828&Itemid=272,Data not available
267,Australia Creates World's Largest System of Marine Parks,Pew Environment Group; Australian Conservation Foundation; Australian Marine Conservation Society; Project AWARE Foundation,Conservation and Sustainability,Closed,2012,2012,Australia,Pacific,Coral Sea Marine National Park,Australian Conservation Foundation,Data not available,Data not available,Data not available,Coral Reef,http://www.pewtrusts.org/en/research-and-analysis/reports/2012/11/15/australia-creates-worlds-largest-system-of-marine-parks,Data not available
269,Barbuda Blue Halo Enforcement Blueprint,Wildaid; Waitt Institute,Conservation and Sustainability,Closed,2014,2014,Antigua and Barbuda,Wider Caribbean,Barbuda Council; Codrington Lagoon National Park; Fisheries; Police; Coast Guard; Port Authority; National Park Authority,WildAid; Waitt Institute,Data not available,Data not available,Data not available,Coral Reef,http://www.wildaid.org/sites/default/files/resources/Barbuda%20Blue%20Halo_Report.pdf,Data not available
346,Belize Conservation Fund,Oak Foundation,Conservation and Sustainability,Active,2016,2020,Belize; Guatemala; Honduras; Mexico,Wider Caribbean,Belize Marine Fund,Mesoamerican Reef Fund,USD 10000000,Data not available,Data not available,Coral Reef,https://www.marfund.org,Data not available
314,Belize Marine Conservation and Climate Adaptation,World Bank,Climate Change Resilience,Active,2015,2020,Belize,Wider Caribbean,Government of Belize,Ministry of Forestry Fisheries and Sustainable Development,USD 7310000,USD 5530000,USD 1780000,Coral Reef,http://projects.worldbank.org/P131408?lang=en,Data not available
302,Belize Marine Ecology Program: 2014-2016 Program Extension,Oak Foundation,Communication and Awareness,Active,2014,2016,Belize,Wider Caribbean,Government of Belize,Ecology Project International,USD 616350,USD 300000,USD 316350,Coral Reef,https://www.ecologyproject.org/programs/student-travel/all-courses/belize-reef-ecology,Data not available
177,Belize Reefs for Life! Targeting the formalization of the Marine Conservation and Climate Adaptation Initiative,Oak Foundation,Climate Change Resilience,Closed,2011,2014,Belize,Wider Caribbean,Government of Belize,The Nature Conservancy,USD 715845,USD 519300,USD 196545,Coral Reef,http://www.reefresilience.org/case-studies/mesoamerican-reef-mpa-design-2/,Data not available
274,Bermuda's Legacy,Pew Environment Group; Bermuda Blue Halo,Communication and Awareness,Closed,2012,2012,United Kingdom,North West Atlantic,Fishermen in Bermuda,Data not available,Data not available,Data not available,Data not available,Coral Reef,https://www.issuelab.org/resource/bermuda-s-legacy.html,Data not available
408,Biodiversity and sustainable management of the marine and coastal environment and related resources in the context of climate change in Wallis and Futuna,European Commission through Biodiversity and Ecosystem Services in Territories of European Overseas Initiative (BEST),Climate Change Resilience,Active,2016,2018,France,Pacific,European Union's Overseas Regions and Outermost Countries and Territories,Service Territorial de L-Environment,USD 85018,Data not available,Data not available,Mangrove,Data not available,Focusing on: Snorkel trail. Sustainability amenity use. Awareness raising
57,Biodiversity Conservation and Management of the Bohol Islands Marine Triangle,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management; Promoting sustainable living and alternative livelihoods,Closed,2000,2007,Philippines,East Asian Sea,Foundation for Filipino Environment,United Nations Development Programme (UNDP); Foundation for Filipino Environment,USD 1380881,USD 743270,USD 637611,Coral Reef; Seagrass,https://www.thegef.org/project/biodiversity-conservation-and-management-bohol-islands-marine-triangle,Data not available
172,Biodiversity preservation in Mayotte and the Indian Ocean islands,French Development Agency (AFD); European Union (EU); French Southern and Antarctic Lands (TAAF),Marine Protected Areas Management,Closed,2015,2016,France,Eastern Africa,Mayotte and Indian Ocean Islands,Terres Australes et Antarctiques Françaises (TAAF),USD 3300,Data not available,Data not available,Coral Reef,http://www.taaf.fr/Gestion-du-patrimoine-naturel-de-Mayotte-et-des-Iles-Eparses-premier-Comite-de-pilotage-du-projet,Data not available
405,BIOPELAGOS: Biodiversity of Oceanic Pelagic Ecosystems for a Better Conservation and Management of Outstanding Natural Areas,European Commission through Biodiversity and Ecosystem Services in Territories of European Overseas Initiative (BEST),Conservation and Sustainability,Active,2016,2019,France,Pacific,Data not available,"Pacific Community (SPC); Institut de recherche pour le
Développement (IRD)",USD 861821,USD 425531,USD 436289,Coral Reef,http://ec.europa.eu/environment/nature/biodiversity/best/pdf/fs_biopelagos_en.pdf,Data not available
409,BIOT: Environmental Interpretation and Education Project,European Commission through Biodiversity and Ecosystem Services in Territories of European Overseas Initiative (BEST),Communication and Awareness,Active,2016,2017,United Kingdom,South Asian Seas,Data not available,British Indian Ocean Territory (BIOT) Administration,USD 101960,USD 94794,Data not available,Coral Reef,Data not available,Focusing on: Invasive species. Lionsifh control. Targeted removal. Lionfish fishery.
158,Boosting Biodiversity in Negril's Coral Reef through Community Recycling and Environmental Education,Global Environment Facility (GEF) Small Grants Programme,Promoting sustainable living and alternative livelihoods,Closed,2008,2010,Jamaica,Wider Caribbean,Negril Chamber of Commerce,Negril Chamber of Commerce,USD 64993,USD 39200,USD 25793,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13576&Itemid=272,Data not available
203,Bridge Grant,Oak Foundation,Marine Protected Areas Management,Closed,2012,2013,Belize,Wider Caribbean,Data not available,Data not available,USD 75000,USD 75000,Data not available,Coral Reef,Data not available,Data not available
372,Building a community-based Marine Protected Area for sustainable marine resources,Global Environment Facility (GEF) Small Grants Programme,Marine Protected Areas Management,Active,2013,Data not available,Indonesia,East Asian Sea,Kelompok Masyarakat Peduli Lingkungan Kecamatan Biduk Biduk,Kelompok Masyarakat Peduli Lingkungan Kecamatan Biduk Biduk,USD 52631,USD 26000,USD 26631,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19518&Itemid=272,Data not available
279,Building capacity for marine conservation in Myanmar,Fauna & Flora International,Communication and Awareness,Active,2012,2017,Myanmar,South Asian Seas,Data not available,Data not available,Data not available,Data not available,Data not available,Coral Reef,http://www.fauna-flora.org/explore/marine/,Data not available
23,Building Capacity of Women's Network for Sustainable Management of Coastal Resources,Global Environment Facility (GEF) Small Grants Programme,Communication and Awareness,Closed,2000,2001,Thailand,East Asian Sea,Yard Fon Association Trang Province,Yard Fon Association Trang Province,USD 18159,USD 12579,USD 5580,Coral Reef; Mangrove; Seagrass,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=3426&Itemid=272,Data not available
369,Building coastal communities resilience to climate change impacts on water security,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Active,2015,Data not available,Vanuatu,Pacific,Ekipe Health and Water Committee,Ekipe Health and Water Committee,USD 84750,USD 42350,USD 42400,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22430&Itemid=272,Data not available
317,Building local communities capacity to coral ecosystem restoration for biodiversity conservation,Global Environment Facility (GEF) Small Grants Programme,Promoting sustainable living and alternative livelihoods,Active,2015,2017,Vanuatu,Pacific,Vanuatu Coastal Fishermens Association,Vanuatu Coastal Fishermens Association,USD 40222,USD 40222,USD 0,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23804&Itemid=272,Data not available
138,Building network for conservation of Ao Baan Don,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Closed,2009,2011,Thailand,East Asian Sea,Ao Baan Don Conservation Network,Ao Baan Don Conservation Network,USD 55625,USD 35060,USD 20565,Coral Reef; Mangrove; Seagrass,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13869&Itemid=272,Data not available
363,Building resilience against coastal erosion and sea-level rise at Mourouk,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Active,2012,Data not available,Mauritius,Eastern Africa,Mourouk/ Anse Enfer Village Community,Mourouk/ Anse Enfer Village Community,USD 76854,USD 49543,USD 27311,Coral Reef; Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18122&Itemid=272,Data not available
190,Building Support for An Effective National Protected Areas System,Oak Foundation,Marine Protected Areas Management,Closed,2011,2014,Belize,Wider Caribbean,Protected Areas Conservation Trust,Protected Areas Conservation Trust,USD 530403,USD 200000,USD 330403,Coral Reef,http://apamobelize.org/project/project-3/,Data not available
349,Building Sustainability and Enhancing Climate Resilience of Belize's Marine Protected Areas (MPA) System,Oak Foundation,Marine Protected Areas Management,Active,2016,2020,Belize,Wider Caribbean,Data not available,University of Belize,USD 3919974,USD 855000,USD 3064974,Coral Reef,Data not available,Data not available
350,Building Sustainability and Enhancing Climate Resilience of Belize's Marine Protected Areas (MPA) System,Oak Foundation,Marine Protected Areas Management,Active,2016,2020,Belize,Wider Caribbean,Data not available,University of Belize,USD 3919974,USD 855000,USD 3064974,Coral Reef,Data not available,Data not available
412,Capacity building and increased financing for long term monitoring programmes for coral reefs in the Turks and Caicos Islands,European Commission through Biodiversity and Ecosystem Services in Territories of European Overseas Initiative (BEST),Monitoring and Research,Active,2016,2018,United Kingdom,Wider Caribbean,Department of Environment and Coastal Resources (DECR); Atlantic and Gulf Rapid Reef Assessment (AGGRA),Wolfs Company,USD 44966,Data not available,Data not available,Coral Reef,Data not available,Focusing on: Coral reef ecosystems. Coral gametes. Transplanting. Coral tile. Conservation. Resilience
189,Capacity Building for Sustainable Resource Use Fishery Alternatives and Technical Support for Members of the Belize Federation of Fishers,Oak Foundation,Fisheries Management and Governance,Closed,2014,2016,Belize,Wider Caribbean,Belize Federation of Fishers,Belize Federation of Fishers,USD 152390,USD 89000,USD 63390,Coral Reef,https://www.bffishers.org,Data not available
64,Capacity building to enhance and increase the sense of ownership in the Port Honduras marine reserve through a community stewards programme,Global Environment Facility (GEF) Small Grants Programme,Communication and Awareness,Closed,2008,2009,Belize,Wider Caribbean,Toledo Institute for Development and Environment,Toledo Institute for Development and Environment,USD 63422,USD 30962,USD 32460,Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12936&Itemid=272,Data not available
353,Capacity Building Workshops for the Junior Coral Reef Ambassadors Programme,Global Environment Facility (GEF) Small Grants Programme,Promoting sustainable living and alternative livelihoods,Closed,2016,2016,Barbados,Wider Caribbean,Coral Reef Club; The Future Centre Trust,Coral Reef Club; The Future Centre Trust,USD 8275,USD 5000,USD 3275,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23945&Itemid=272,Data not available
82,Capacity-Building for the Fishery Management of Balayan Municipal Waters,Global Environment Facility (GEF) Small Grants Programme,Fisheries Management and Governance,Closed,2002,2004,Indonesia,East Asian Sea,Ang Nagkakaisang Mamayanang Kostal ng Balayan,Ang Nagkakaisang Mamayanang Kostal ng Balayan,USD 58223,USD 39469,USD 18754,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5103&Itemid=272,Data not available
311,Capturing Coral Reef Ecosystem Services (CCRES),Global Environment Facility (GEF) Trust Fund,Conservation and Sustainability,Active,2013,2018,Indonesia; Philippines,East Asian Sea,The University of Queensland; The Marine Science Institute University of the Philippines,World Bank,USD 32310000,USD 4500000,USD 27810000,Coral Reef; Mangrove; Seagrass,"https://www.thegef.org/project/capturing-coral-reef-and-related-ecosystem-services-ccres",The Capturing Coral Reef & Related Ecosystem Services (CCRES) project is working to ensure the long term sustainability of these coastal ecosystems with models tools and knowledge products to support planning. At the same time the project seeks to unlock new sustainable income streams for the communities which rely on these ecosystems.
56,Caribbean Archipelago Biosphere Reserve: Regional Marine Protected Area System,Global Environment Facility (GEF) Trust Fund,Conservation and Sustainability; Marine Protected Areas Management,Closed,1999,2005,Columbia,North-East Pacific,The Corporation for the Sustainable Development of the Archipelago of San Andres - Old Province and Santa Catalina (CORALINA),World Bank; CORALINA,USD 4180000,USD 1000000,USD 3180000,Coral Reef; Mangrove; Seagrass,https://www.thegef.org/project/caribbean-archipelago-biosphere-reserve-regional-marine-protected-area-system,Data not available
472,Caribbean Coral Reef Institute,NOAA Coral Reef Conservation Program,Monitoring and Research,Data not available,2010,Data not available,United States of America,Atlantic; Wider Caribbean,NOAA's Coral Reef Institutes,NOAA's Coral Reef Institutes,USD 878000,USD 878000,USD 0,Coral Reef,https://ocmcoralreef.blob.core.windows.net/coralreef-prod/media/docs/fy10_grant_awards.pdf,Other Competitive Awards
481,Caribbean MPA Partnership,National Fish and Wildlife Foundation (Coral Reef Conservation Fund),Marine Protected Areas Management,Closed,2015,Data not available,United States of America,Wider Caribbean,Gulf and Caribbean Fisheries Institute Inc.,Gulf and Caribbean Fisheries Institute Inc.,USD 162636,USD 117000,USD 45636,Coral Reef,http://www.nfwf.org/whatwedo/grants/search/pages/grant-profile.aspx?EGID=49424,Building upon previous NOAA funded peer to peer capacity building activities with priority Caribbean MPAs. Project will address desired follow-up on sustainable financing / monitoring / enforcement / SocMon / and management planning. Additional activities will include website maintenance / travel logistical support / and project coordination.
21,Chao Lao Fishing Community,Global Environment Facility (GEF) Small Grants Programme,Fisheries Management and Governance,Closed,2005,2007,Thailand,East Asian Sea,Community members of 20 target villages,Chao Lao Fishing Community; The Department of Coastal Natural Resources;Chanthaburi Provincial Council ;Tambol Khlongkhud ,USD 25572,USD 18414,USD 7158,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7994&Itemid=272,Data not available
78,Children of the Coral Reef of Aqaba,Global Environment Facility (GEF) Small Grants Programme,Communication and Awareness,Closed,2000,2002,Jordan,Red Sea and Gulf of Aden,Aqaba Center,Aqaba Center,USD 86500,USD 48000,USD 38500,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4102&Itemid=272,Data not available
328,Climate Change Adaptation Project,World Bank,Climate Change Resilience,Active,2015,2018,Maldives,South Asian Seas,Ministry of Finance and Treasury,Ministry of Finance and Treasury; Ministry of Environment and Energy,USD 4210000,USD 4210000,Data not available,Coral Reef,http://projects.worldbank.org/P153301?lang=en,Data not available
457,CLME+ : Catalysing Implementation of the Strategic Action Programme for the Sustainable Management of shared Living Marine Resources in the Caribbean and North Brazil Shelf Large Marine Ecosystems,Global Environment Facility (GEF) Trust Fund,Conservation and Sustainability,Active,2015,2020,Antigua and Barbuda; Barbados; Belize; Brazil; Colombia; Costa Rica; Dominica; Dominican Republic; Guatemala; Grenada; Guyana; Haiti; Honduras; Jamaica; Mexico; Panama; Saint Kitts and Nevis; Saint Lucia; Saint Vincent and the Grenadines; Suriname; Trinidad and Tobago,Wider Caribbean,Data not available,United Nations Development Programme (UNDP),USD 147103695,USD 12950000,USD 134153695,Coral Reef; Mangrove; Seagrass,"https://www.thegef.org/project/catalyzing-implementation-strategic-action-programme-sustainable-management-shared-living",Facilitating EBM/EAF in the CLME+ for the sustainable and climate resilient provision of goods and services from shared living marine resources in line with the endorsed CLME+ SAP.
282,Coastal and Marine Conservation Project,Fauna & Flora International,Monitoring and Research,Closed,2015,2015,Cambodia,East Asian Sea,Government of Cambodia,Phnom Penh,USD 30000,Data not available,Data not available,Coral Reef,http://www.fauna-flora.org/a-smart-approach-to-marine-conservation-in-cambodia/,Data not available
35,Coastal and marine resources conservation and management for fishing families in Bunawan district,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability; Fisheries Management and Governance,Closed,2001,2004,Philippines,East Asian Sea,Fishing families in Bunawan District Davao City,Association of Fisherfolk of Davao City,USD 51441,USD 29805,USD 21636,Coral Reef; Mangrove; Seagrass,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5052&Itemid=272,Data not available
336,Coastal conservation education: protecting Barbados' coral reef,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Active,2014,2015,Barbados,Wider Caribbean,Trekvoy Art and Literary Endowment for the Naturally Talented,Trekvoy Art and Literary Endowment for the Naturally Talented,USD 110253,USD 50000,USD 60253,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22143&Itemid=272,Data not available
225,Coastal ecosystem participatory conservation for sustianable welfare improvement,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Closed,2013,2014,Indonesia,East Asian Sea,Yayasan Pengembangan dan Pemberdayaan Masyarakat,Yayasan Pengembangan dan Pemberdayaan Masyarakat,USD 30439,USD 20000,USD 10439,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19474&Itemid=272,Data not available
253,Coastal Fishery Resource Protection and Conservation for Improving Livelihood of Community (CFRPCILC),Global Environment Facility (GEF) Small Grants Programme,Fisheries Management and Governance,Closed,2011,2013,Cambodia,East Asian Sea,Okrasa Community Fisheries,Okrasa Community Fisheries,USD 69659,USD 40024,USD 29635,Mangrove; Seagrass,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17218&Itemid=272,Data not available
256,Coastal Management and Mangrove Conservation,Global Environment Facility (GEF) Small Grants Programme,Marine Protected Areas Management,Closed,2010,2012,Samoa,Pacific,Alii ma Faipule o Safua,Alii ma Faipule o Safua,USD 25387,USD 16387,USD 9000,Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15726&Itemid=272,Data not available
187,Coastal Planning and Sports Fishing Conservation Management: Building Capacity for the Coastal Zone Management Institute,Oak Foundation,Fisheries Management and Governance,Closed,2011,2013,Belize,Wider Caribbean,Government of Belize,Belize Coastal Zone Management Authority and Institute,USD 175267,USD 100000,USD 75267,Coral Reef,https://www.coastalzonebelize.org/?s=coastal+planning,Data not available
117,Coastal Resilience to Climate Change: Developing a Generalizable Method for Assessing Vulnerability and Adaptation of Mangroves and Associated Ecosystems,Global Environment Facility (GEF) Trust Fund,Climate Change Resilience,Closed,2005,2010,Cameroon; Tanzania; Fiji; India,Eastern Africa; Pacific; South Asian Seas; West and Central Africa,Government of Cameroon; Government of Tanzania; Government of Fiji; Government of India,United Nations Environment Programme (UNDP); World Wildlife Fund America,USD 2000000,USD 1000000,USD 1000000,Coral Reef; Mangrove,https://www.thegef.org/project/coastal-resilience-climate-change-developing-generalizable-method-assessing-vulnerability,Data not available
